Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
54,Beznau-2,47.552,8.229,Switzerland,CH,Operational,PWR,WH 2LP,1968-01-01,1972-03-04,,350.0,2023-08-28T08:01:45+03:00,WNA/IAEA,57.0
153,Clinton-1,40.172,-88.834,United States,US,Operational,BWR,BWR-6 (Mark 3),1975-10-01,1987-11-24,,950.0,2015-05-24T04:51:49+03:00,WNA/IAEA,742.0
405,Kudankulam-4,8.16666,77.708,India,IN,Under Construction,PWR,VVER V-412,2017-10-23,,,917.0,2018-07-01T01:21:38+03:00,WNA/IAEA,1060.0
772,Zaporozhye-2,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,1981-01-01,1986-02-15,,950.0,2015-05-24T04:51:40+03:00,WNA/IAEA,586.0
209,Fangchenggang-1,21.6,108.3,China,CN,Operational,PWR,CPR-1000,2010-07-30,2016-01-01,,1000.0,2019-06-29T22:55:52+03:00,WNA/IAEA,943.0
683,Temelin-1,49.181,14.377,Czechia,CZ,Operational,PWR,VVER V-320,1987-02-01,2002-06-10,,1027.0,2021-02-14T03:47:53+02:00,WNA/IAEA,74.0
622,Shin-Wolsong-1,35.722,129.479,South Korea,KR,Operational,PWR,OPR-1000,2007-11-20,2012-07-31,,950.0,2022-04-21T20:26:19+03:00,WNA/IAEA,883.0
9,Akkuyu-4,36.144444,33.541111,Türkiye,TR,Under Construction,PWR,VVER V-509,2022-07-21,,,1114.0,2022-09-24T22:33:57+03:00,Wikipedia/IAEA,1082.0
662,Summer-2,34.295833,-81.320278,United States,US,Suspended Construction,PWR,AP-1000,2013-03-09,,,1117.0,2018-03-10T14:56:12+02:00,IAEA,1038.0
37,Barseback-2,55.745,12.926,Sweden,SE,Shutdown,BWR,AA-II,1973-01-01,1977-07-01,2005-05-31,570.0,2018-03-10T14:52:02+02:00,WNA/IAEA,540.0
454,Mihama-1,35.701,135.962,Japan,JP,Shutdown,PWR,WH 2LP,1967-02-01,1970-11-28,2015-04-27,320.0,2017-02-10T23:56:29+02:00,WNA/IAEA,366.0
255,Golfech-1,44.105,0.845,France,FR,Operational,PWR,P4 REP 1300,1982-11-17,1991-02-01,,1310.0,2015-05-24T04:51:04+03:00,WNA/IAEA,219.0
305,Heysham-A2,54.029,-2.912,United Kingdom,GB,Operational,GCR,AGR,1970-12-01,1989-04-01,,611.0,2015-05-24T04:51:18+03:00,WNA/IAEA,257.0
610,Shanwei-1,,,China,CN,Planned,PWR,,,,,,,WNA,
583,Rostov-1 (Volgodonsk-1),47.599,42.373,Russia,RU,Operational,PWR,VVER V-320,1981-09-01,2001-12-25,,950.0,2015-05-24T04:51:35+03:00,WNA/IAEA,502.0
591,Salem-1,39.463,-75.534,United States,US,Operational,PWR,WH 4LP (DRYAMB),1968-09-25,1977-06-30,,1090.0,2017-02-10T23:58:08+02:00,WNA/IAEA,627.0
264,Gravelines-6,51.014,2.138,France,FR,Operational,PWR,CP1,1979-10-01,1985-10-25,,910.0,2015-05-24T04:51:02+03:00,WNA/IAEA,209.0
299,Hanul-6,37.09,129.384444,South Korea,KR,Operational,PWR,OPR-1000,2000-09-29,2005-04-22,,950.0,2022-04-21T20:26:19+03:00,IAEA,406.0
416,Kursk-3,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1978-04-01,1984-03-30,,925.0,2015-05-24T04:51:35+03:00,WNA/IAEA,497.0
152,Civaux-2,46.457,0.654,France,FR,Operational,PWR,N4 REP 1450,1991-04-01,2002-04-23,,1450.0,2015-05-24T04:51:07+03:00,WNA/IAEA,228.0
679,Tarapur-1,19.834,72.657,India,IN,Suspended Operation,BWR,BWR-1 (Mark 2),1964-10-01,1969-10-28,,200.0,2023-08-28T08:01:45+03:00,WNA/IAEA,285.0
725,Unterweser,53.429,8.477,Germany,DE,Shutdown,PWR,PWR,1972-07-01,1979-09-06,2011-08-06,1230.0,2015-05-24T04:50:42+03:00,WNA/IAEA,90.0
552,Point Beach-2,44.282,-87.534,United States,US,Operational,PWR,WH 2LP (DRYAMB),1968-07-25,1972-10-01,,497.0,2017-02-10T23:58:22+02:00,WNA/IAEA,644.0
490,Novovoronezh-2,51.275,39.206,Russia,RU,Shutdown,PWR,VVER V-365,1964-06-01,1970-04-14,1990-08-29,336.0,2018-07-01T01:21:53+03:00,WNA/IAEA,513.0
149,Chooz-B1,50.086,4.792,France,FR,Operational,PWR,N4 REP 1450,1984-01-01,2000-05-15,,1455.0,2015-05-24T04:51:04+03:00,WNA/IAEA,220.0
148,Chooz-A,50.086,4.792,France,FR,Shutdown,PWR,CHOOZ-A,1962-01-01,1967-04-15,1991-10-30,280.0,2015-05-24T04:51:01+03:00,WNA/IAEA,206.0
592,Salem-2,39.463,-75.534,United States,US,Operational,PWR,WH 4LP (DRYAMB),1968-09-25,1981-10-13,,1115.0,2017-02-10T23:58:29+02:00,WNA/IAEA,650.0
755,Xiaomoshan (Jiulongshan) 2,,,China,CN,Planned,PWR,,,,,,,WNA,
605,Sendai-1,31.834,130.193,Japan,JP,Operational,PWR,M (3-loop),1979-12-15,1984-07-04,,846.0,2015-05-24T04:51:28+03:00,WNA/IAEA,353.0
350,Kaiga-1,14.865,74.438,India,IN,Operational,PHWR,Horizontal Pressure Tube type,1989-09-01,2000-11-16,,202.0,2015-05-24T04:54:05+03:00,WNA/IAEA,289.0
465,Monticello,45.334,-93.85,United States,US,Operational,BWR,BWR-3 (Mark 1),1967-06-19,1971-06-30,,545.0,2017-02-10T23:58:02+02:00,WNA/IAEA,620.0
327,Humboldt Bay,40.741,-124.21,United States,US,Shutdown,BWR,Natural cir.,1960-11-01,1963-08-01,1976-07-02,65.0,2015-05-24T04:51:41+03:00,WNA/IAEA,599.0
188,Dounreay PFR,58.577,-3.745,United Kingdom,GB,Shutdown,FBR,,1966-01-01,1976-07-01,1994-03-31,234.0,2015-05-24T04:51:14+03:00,WNA/IAEA,243.0
125,Changjiang-1,19.46075,108.899917,China,CN,Operational,PWR,CNP-600,2010-04-25,2015-12-25,,601.0,2021-04-20T03:20:43+03:00,WNA/IAEA/Wikipedia,939.0
777,Zhangzhou-1,23.829167,117.491667,China,CN,Under Construction,PWR,HPR1000,2019-10-16,,,1126.0,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,1083.0
145,Chinon-B2,47.232,0.167,France,FR,Operational,PWR,CP2,1977-03-01,1984-08-01,,870.0,2015-05-24T04:50:59+03:00,WNA/IAEA,197.0
783,KANUPP-2,24.845,66.79,Pakistan,PK,Operational,PWR,ACP-1000,2015-08-20,2021-05-21,,1017.0,2022-04-21T20:26:19+03:00,IAEA,1067.0
199,Dungeness-B1,50.914,0.962,United Kingdom,GB,Shutdown,GCR,AGR,1965-10-01,1985-04-01,2021-06-07,607.0,2022-01-05T00:04:08+02:00,WNA/IAEA,248.0
281,Hallam,40.559,-96.785,United States,US,Shutdown,OCR,LMGMR (SGR-Sodium cooled graphite moderated reactor),1959-01-01,1963-11-01,1964-09-01,75.0,2015-08-23T03:28:28+03:00,WNA/IAEA,891.0
295,Hanul-2,37.09,129.384444,South Korea,KR,Operational,PWR,France CPI,1983-07-05,1989-09-30,,903.0,2023-08-28T08:01:45+03:00,IAEA,395.0
402,Kudankulam-1,8.167,77.713,India,IN,Operational,PWR,VVER V-412,2002-03-31,2014-12-31,,917.0,2015-05-24T04:51:50+03:00,WNA/IAEA,852.0
124,Cernavoda-3,44.322,28.061,Romania,RO,Suspended Construction,PHWR,,1984-02-09,,,655.0,2021-02-14T00:59:00+02:00,WNA/IAEA/Wikipedia,
185,Donald Cook-2,41.975,-86.564,United States,US,Operational,PWR,WH 4LP (ICECDN),1969-03-25,1978-07-01,,1100.0,2017-02-10T23:58:33+02:00,WNA/IAEA,654.0
204,Embalse,-32.232,-64.442,Argentina,AR,Operational,PHWR,CANDU 6,1974-04-01,1984-01-20,,608.0,2020-04-18T04:46:52+03:00,WNA/IAEA,4.0
440,Lingao-4,22.609,114.552,China,CN,Operational,PWR,CPR-1000,2006-06-15,2011-08-07,,1007.0,2015-05-24T04:51:51+03:00,WNA/IAEA,875.0
248,Genkai-2,33.518,129.837,Japan,JP,Shutdown,PWR,M (2-loop),1977-02-01,1981-03-30,2019-04-09,529.0,2019-11-22,WNA/IAEA,352.0
417,Kursk-4,51.674,35.607,Russia,RU,Operational,LWGR,RBMK-1000,1981-05-01,1986-02-05,,925.0,2015-05-24T04:51:35+03:00,WNA/IAEA,498.0
718,Turkey Point-4,25.435,-80.33,United States,US,Operational,PWR,WH 3LP (DRYAMB),1967-04-27,1973-09-07,,693.0,2017-02-10T23:57:58+02:00,WNA/IAEA,614.0
131,CHASNUPP-1,32.392,71.463,Pakistan,PK,Operational,PWR,CNP-300,1993-08-01,2000-09-15,,300.0,2021-06-07,WNA/IAEA,428.0
404,Kudankulam-3,8.16705,77.708,India,IN,Under Construction,PWR,VVER V-412,2017-06-29,,,917.0,2017-09-25T03:20:58+03:00,WNA/IAEA,1059.0
637,Sinop-4,42.0,35.0,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,
627,Shin-Kori-2,35.327,129.302,South Korea,KR,Operational,PWR,OPR-1000,2007-06-05,2012-07-20,,995.0,2022-04-21T20:26:19+03:00,WNA/IAEA,865.0
740,Wolf Creek,38.239,-95.691,United States,US,Operational,PWR,WH 4LP (DRYAMB),1977-05-31,1985-09-03,,1170.0,2017-02-10T23:59:19+02:00,WNA/IAEA,751.0
221,Forsmark-1,60.405,18.168,Sweden,SE,Operational,BWR,"AA-III, BWR-2500",1973-06-01,1980-12-10,,900.0,2018-03-10T14:52:03+02:00,WNA/IAEA,541.0
742,Wolsong-2,35.71,129.476,South Korea,KR,Operational,PHWR,CANDU 6,1992-09-25,1997-07-01,,652.0,2022-04-21T20:26:19+03:00,WNA/IAEA,408.0
613,Shaoguan-3,,,China,CN,Planned,PWR,,,,,,,WNA,
745,Wolsong-5,35.7101,129.481,South Korea,KR,Planned,PHWR,,,,,,,WNA,
764,Yankee Rowe,42.728,-72.929,United States,US,Shutdown,PWR,PWR,1957-11-01,1961-07-01,1991-10-01,175.0,2015-05-24T04:51:43+03:00,WNA/IAEA,638.0
388,Kola-3,67.467,32.491,Russia,RU,Operational,PWR,VVER V-213,1977-04-01,1982-12-03,,411.0,2015-05-24T04:51:34+03:00,WNA/IAEA,491.0
795,Cernavoda-4,44.322,28.061,Romania,RO,Suspended Construction,PHWR,,1985-08-15,,,655.0,2021-02-14T01:00:00+02:00,IAEA/Wikipedia,
511,Onagawa-3,38.4,141.504,Japan,JP,Suspended Operation,BWR,BWR-5,1998-01-23,2002-01-30,,796.0,2022-12-30T02:21:21+02:00,WNA/IAEA,385.0
269,Greifswald-5,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-213,1976-12-01,1989-11-01,1989-11-24,408.0,2015-05-24T04:50:47+03:00,WNA/IAEA,127.0
667,Susquehanna-1,41.093,-76.143,United States,US,Operational,BWR,BWR-4 (Mark 2),1973-11-02,1983-06-08,,1065.0,2015-05-24T04:51:48+03:00,WNA/IAEA,696.0
443,Longyou-2,,,China,CN,Planned,PWR,,,,,,,WNA,
498,Ohi-1,35.544,135.652,Japan,JP,Shutdown,PWR,WH 4LP,1972-10-26,1979-03-27,2018-03-01,1120.0,2019-06-02T20:19:15+03:00,WNA/IAEA,339.0
114,Carolinas CVTR,34.263,-81.33,United States,US,Shutdown,PHWR,Prototype,1960-01-01,1963-12-18,1967-01-10,17.0,2017-02-10T23:57:39+02:00,WNA/IAEA,600.0
234,Fukushima Daini-2,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1979-05-25,1984-02-03,2019-09-30,1067.0,2020-04-18T04:46:52+03:00,WNA/IAEA,351.0
727,Vandellos-2,40.949,0.867,Spain,ES,Operational,PWR,WH 3LP,1980-12-29,1988-03-08,,930.0,2017-02-10T23:56:13+02:00,WNA/IAEA,146.0
609,Sequoyah-2,35.228,-85.094,United States,US,Operational,PWR,WH 4LP (ICECND),1970-05-27,1982-06-01,,1148.0,2017-02-10T23:58:43+02:00,WNA/IAEA,664.0
375,Kashiwazaki Kariwa-5,37.434,138.598,Japan,JP,Suspended Operation,BWR,BWR-5,1985-06-20,1990-04-10,,1067.0,2022-09-24T22:33:57+03:00,WNA/IAEA,367.0
235,Fukushima Daini-3,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1981-03-23,1985-06-21,2019-09-30,1067.0,2020-04-18T04:46:52+03:00,WNA/IAEA,361.0
638,Sizewell-A1,52.212,1.621,United Kingdom,GB,Shutdown,GCR,MAGNOX,1961-04-01,1966-03-25,2006-12-31,290.0,2015-05-24T04:51:10+03:00,WNA/IAEA,235.0
319,Hongshiding-2 (Rushan-2),,,China,CN,Planned,PWR,,,,,,,WNA,
412,Kuosheng-1,25.203,121.662,Taiwan,TW,Shutdown,BWR,BWR-6,1975-11-19,1981-12-28,2021-12-28,948.0,2022-04-21T20:26:19+03:00,WNA/IAEA,556.0
730,Visaginas-2,55.6057,26.575842,Lithuania,LT,Planned,,,,,,,,WNA,
360,Kalinin-1,57.903,35.057,Russia,RU,Operational,PWR,VVER V-338,1977-02-01,1985-06-12,,950.0,2015-05-24T04:51:34+03:00,WNA/IAEA,489.0
260,Gravelines-2,51.014,2.138,France,FR,Operational,PWR,CP1,1975-03-01,1980-12-01,,910.0,2015-05-24T04:50:52+03:00,WNA/IAEA,175.0
629,Saeul-2,35.327,129.302,South Korea,KR,Operational,PWR,APR-1400,2009-08-19,2019-08-29,,1340.0,2022-12-30T01:45:43+02:00,WNA/IAEA,886.0
634,Sinop-1,42.0,35.0,Türkiye,TR,Planned,PWR,ATMEA-1,,,,,,Wikipedia,
284,Hamaoka-3,34.621,138.141,Japan,JP,Suspended Operation,BWR,BWR-5,1983-04-18,1987-08-28,,1056.0,2022-12-30T02:07:18+02:00,WNA/IAEA,362.0
378,Kewaunee,44.47,-87.498,United States,US,Shutdown,PWR,WH 2LP (DRYAMB),1968-08-06,1974-06-16,2013-05-07,535.0,2017-02-10T23:58:26+02:00,WNA/IAEA,647.0
386,Kola-1,67.467,32.491,Russia,RU,Operational,PWR,VVER V-230,1970-05-01,1973-12-28,,411.0,2015-05-24T04:51:32+03:00,WNA/IAEA,453.0
226,Fugen ATR,35.751,136.02,Japan,JP,Shutdown,HWLWR,ATR,1972-05-10,1979-03-20,2003-03-29,148.0,2015-05-24T04:51:28+03:00,WNA/IAEA,345.0
778,Zion-1,42.446,-87.801,United States,US,Shutdown,PWR,WH 4LP,1968-12-01,1973-12-31,1998-02-13,1040.0,2017-02-10T23:58:20+02:00,WNA/IAEA,640.0
663,Summer-3,34.295833,-81.320278,United States,US,Suspended Construction,PWR,AP-1000,2013-11-02,,,1117.0,2018-03-10T14:56:13+02:00,IAEA,1039.0
474,Nine Mile Point-2,43.522,-76.412,United States,US,Operational,BWR,BWR-5 (Mark 2),1975-08-01,1988-03-11,,1100.0,2015-05-24T04:51:48+03:00,WNA/IAEA,711.0
349,Kahl,50.059,8.987,Germany,DE,Decommissioning Completed,BWR,BWR,1958-07-01,,1985-11-25,15.0,2022-12-30T02:24:37+02:00,WNA/IAEA,82.0
507,Olkiluoto-3,61.234,21.435,Finland,FI,Operational,PWR,EPR,2005-08-12,,,1600.0,2022-04-21T20:26:19+03:00,WNA/IAEA,860.0
641,Sizewell-C1,52.21939,1.6228,United Kingdom,GB,Planned,PWR,,,,,,,WNA,
808,Tianwan-8,34.6828,119.456,China,CN,Under Construction,PWR,VVER-1200/V491,2022-02-25,,,1171.0,2022-04-21T20:26:19+03:00,Wikipedia/IAEA,1110.0
753,Xianning-2,29.66,114.67,China,CN,Planned,PWR,AP-1000,,,,,,WNA/Wikipedia,
735,Waterford-3,29.994,-90.471,United States,US,Operational,PWR,CE 2LP (DRYAMB),1974-11-14,1985-09-24,,1104.0,2017-02-10T23:58:56+02:00,WNA/IAEA,695.0
621,Shimane-3,35.537,132.999,Japan,JP,Under Construction,BWR,ABWR,2006-10-24,,,1325.0,2021-02-14T03:47:53+02:00,WNA/IAEA,862.0
691,Tianwan-4,34.6858,119.456,China,CN,Operational,PWR,VVER V-428M,2013-09-27,2018-12-22,,1060.0,2019-06-02T20:19:28+03:00,WNA/IAEA,974.0
648,South Texas-2,28.796,-96.044,United States,US,Operational,PWR,WH 4LP (DRYAMB),1975-12-22,1989-06-19,,1250.0,2017-02-10T23:59:21+02:00,WNA/IAEA,765.0
781,Barakah-4 (Braka),23.952748,52.203298,United Arab Emirates,AE,Under Construction,PWR,APR-1400,2015-07-30,,,1310.0,2023-08-28T08:01:45+03:00,IAEA,1053.0
558,Qinshan-2-1 (Qinshan 2),30.44,120.95,China,CN,Operational,PWR,CNP-600,1996-06-02,2002-04-15,,610.0,2015-05-24T04:50:40+03:00,WNA/IAEA,65.0
579,Ringhals-3,57.259,12.111,Sweden,SE,Operational,PWR,WH 3LP,1972-09-01,1981-09-09,,915.0,2023-08-28T08:01:45+03:00,WNA/IAEA,539.0
87,Bruce-5,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750B,1978-05-31,1985-02-28,,822.0,2022-04-21T20:26:19+03:00,WNA/IAEA,38.0
244,G-3 (Marcoule),44.142,4.713,France,FR,Shutdown,GCR,,1956-03-01,1960-04-04,1984-06-20,36.0,2015-05-24T04:50:50+03:00,WNA/IAEA,161.0
161,Cruas-3,44.634,4.757,France,FR,Operational,PWR,CP2,1979-04-15,1984-09-10,,880.0,2015-05-24T04:50:59+03:00,WNA/IAEA,200.0
526,Paluel-3,49.857,0.635,France,FR,Operational,PWR,P4 REP 1300,1979-02-01,1986-02-01,,1330.0,2015-05-24T04:50:58+03:00,WNA/IAEA,193.0
36,Barseback-1,55.745,12.926,Sweden,SE,Shutdown,BWR,AA-II,1971-02-01,1975-07-01,1999-11-30,570.0,2018-03-10T14:52:00+02:00,WNA/IAEA,538.0
542,Pickering-2,43.812,-79.07,Canada,CA,Shutdown,PHWR,CANDU 500A,1966-09-01,1971-12-30,2007-05-28,508.0,2015-05-24T04:50:36+03:00,WNA/IAEA,50.0
172,Darlington-4,43.867,-78.724,Canada,CA,Operational,PHWR,CANDU 850,1985-07-01,1993-06-14,,881.0,2015-05-24T04:50:26+03:00,WNA/IAEA,46.0
657,St. Laurent-B2,47.72,1.581,France,FR,Operational,PWR,CP2,1976-07-01,1983-08-01,,880.0,2015-05-24T04:50:53+03:00,WNA/IAEA,177.0
693,Tianwan-6,34.6828,119.456,China,CN,Operational,PWR,CNP-1000,2016-09-07,2021-06-02,,1000.0,2021-06-29T00:12:17+03:00,WNA/Wikipedia/IAEA,976.0
685,Three Mile Island-1,40.154,-76.727,United States,US,Shutdown,PWR,B&W LLP (DRYAMB),1968-05-18,1974-09-02,2019-09-20,819.0,2019-11-22,WNA/IAEA,637.0
771,Zaporozhye-1,47.508,34.627,Ukraine,UA,Operational,PWR,VVER V-320,1980-04-01,1985-12-25,,950.0,2015-05-24T04:51:40+03:00,WNA/IAEA,584.0
97,Bugey-4,45.8,5.267,France,FR,Operational,PWR,CP0,1974-06-01,1979-07-01,,900.0,2015-05-24T04:50:51+03:00,WNA/IAEA,167.0
565,Quad Cities-2,41.727,-90.308,United States,US,Operational,BWR,BWR-3 (Mark 1),1967-02-15,1973-03-10,,789.0,2015-05-24T04:51:42+03:00,WNA/IAEA,621.0
242,Fuqing-6,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,2015-12-22,2022-03-25,,1075.0,2022-09-24T22:33:57+03:00,WNA/Wikipedia/IAEA,938.0
576,Rheinsberg,53.147,12.991,Germany,DE,Shutdown,PWR,VVER-70,1960-01-01,1966-10-11,1990-06-01,62.0,2015-05-24T04:50:47+03:00,WNA/IAEA,122.0
462,Mochovce-3,48.261,18.455,Slovakia,SK,Operational,PWR,VVER V-213,1987-01-27,,,440.0,2023-08-28T08:01:45+03:00,WNA/IAEA,544.0
555,Prairie Island-1,44.622,-92.631,United States,US,Operational,PWR,WH 2LP (DRYAMB),1968-06-25,1973-12-16,,530.0,2017-02-10T23:58:12+02:00,WNA/IAEA,633.0
710,Trillo-1,40.699,-2.622,Spain,ES,Operational,PWR,PWR 3 loops,1979-08-17,1988-08-06,,990.0,2015-05-24T04:50:49+03:00,WNA/IAEA,141.0
208,Enrico Fermi-2,41.96,-83.257,United States,US,Operational,BWR,BWR-4 (Mark 1),1972-09-26,1988-01-23,,1093.0,2015-05-24T04:51:47+03:00,WNA/IAEA,674.0
394,Kozloduy-1,43.744,23.776,Bulgaria,BG,Shutdown,PWR,VVER V-230,1970-04-01,1974-10-28,2002-12-31,408.0,2015-05-24T04:50:16+03:00,WNA/IAEA,16.0
